setting,epoch,train_loss,val_loss,train_acc,val_acc
raw_time,1,4.468058157798856,4.034804581754843,0.09791718718059372,0.14205720905856067
raw_time,2,3.9181035541220757,3.863687545534164,0.15385364175879088,0.16437260364659476
raw_time,3,3.792893689930241,3.7866907695824086,0.16745892942317864,0.17204093454334812
raw_time,4,3.7353299161623483,3.7471192076513167,0.17475964424427867,0.1782197335392933
raw_time,5,3.7013269721768625,3.734740299732807,0.1797825360411955,0.17380630568504676
raw_time,6,3.677521672112205,3.7144747230321222,0.1817131695161086,0.18072987063139603
raw_time,7,3.659430987068585,3.707531730964701,0.18463021068240593,0.18072987063139603
raw_time,8,3.644502310558807,3.687879011534299,0.18553225455807962,0.1824676578490056
raw_time,9,3.629823536621376,3.6880480393741077,0.18734607659585514,0.18122638126499876
raw_time,10,3.6212247212562847,3.6756590875999007,0.18793337854368586,0.18329517557167682
quantized_time,1,3.681323345072104,3.1863579340563475,0.18593673778080375,0.23462720410537935
quantized_time,2,3.061601414831467,3.0029924766707965,0.2476302111665222,0.2563773607423099
quantized_time,3,2.9444447130185685,2.9248726372500413,0.26174892346134815,0.26344839931974817
quantized_time,4,2.8931640698458407,2.8945225504518466,0.26840644203536873,0.26634245308350984
quantized_time,5,2.8589564910128815,2.884410237992993,0.2702840237101716,0.26312020765581645
quantized_time,6,2.831350002989136,2.864545345761394,0.2737268416970531,0.26670048035325356
quantized_time,7,2.8134991707171104,2.831348155291026,0.27598695870373163,0.2730256287853925
quantized_time,8,2.798547292810436,2.8345096043048015,0.27794876834151633,0.27630754542470987
quantized_time,9,2.7848435088593906,2.827822725736458,0.28019484735436456,0.27404003938299965
quantized_time,10,2.7746783246786277,2.822602234723914,0.2817460456726129,0.27048960229137453
