n_tokens,time_ratio,on_ratio,off_ratio,pitch_mean,pitch_std,pitch_range
15632,0.4630245649948823,0.26848771750255884,0.26848771750255884,65.1493924231594,13.045797621652094,75.0
15284,0.44962051818895576,0.2751897409055221,0.2751897409055221,65.24774132192107,13.025924747808054,75.0
12290,0.45874694873881205,0.270626525630594,0.270626525630594,65.99609140108238,13.6648632422285,75.0
23083,0.45275744054065764,0.2736212797296712,0.2736212797296712,60.58185560481317,13.032712536156124,81.0
19555,0.4515980567629762,0.27420097161851187,0.27420097161851187,63.096232748974266,12.729726726854045,77.0
7697,0.4301675977653631,0.2849162011173184,0.2849162011173184,65.52165982672139,13.64736028851772,72.0
19505,0.4471161240707511,0.27644193796462446,0.27644193796462446,61.41728486646884,12.605821427988765,77.0
23405,0.44473403118991667,0.27763298440504164,0.27763298440504164,61.18836565096953,15.181944860426523,75.0
22036,0.44472681067344344,0.2776365946632783,0.2776365946632783,61.82216410591697,14.723586533733938,75.0
22308,0.43329747175901023,0.2833512641204949,0.2833512641204949,61.4405948425882,14.862433801924709,73.0
7327,0.4802784222737819,0.25986078886310904,0.25986078886310904,63.81144957983193,13.152213891648032,82.0
23099,0.46040954153859476,0.26979522923070265,0.26979522923070265,61.18405006418485,13.678348699124802,78.0
23310,0.4683826683826684,0.2658086658086658,0.2658086658086658,61.27453195610071,13.774596646478908,78.0
23420,0.46883005977796754,0.2655849701110162,0.2655849701110162,61.17813504823151,13.691271108284289,78.0
23177,0.4668852741942443,0.26655736290287785,0.26655736290287785,61.26545807704759,13.719656762084625,78.0
34488,0.4498956158663883,0.27505219206680587,0.27505219206680587,61.005376344086024,12.817186856599143,73.0
34729,0.451467073627228,0.27426646318638603,0.27426646318638603,60.92776902887139,12.820711201223686,73.0
35792,0.4564707197139026,0.27176464014304874,0.27176464014304874,61.155546417189264,12.899599877881363,73.0
26585,0.43456836561971035,0.2827158171901448,0.2827158171901448,64.88344864289516,14.517372743162372,82.0
